,Average_score,Episode
0,0.0,0.0
1,300.0,1.37
2,300.0,1.47666666667
3,600.0,1.41333333333
4,900.0,1.26333333333
5,1200.0,1.26
6,1500.0,1.23
7,1800.0,1.31666666667
8,2100.0,1.42666666667
9,2400.0,1.23666666667
10,2700.0,1.28666666667
11,3000.0,1.26666666667
12,3300.0,1.45333333333
13,3600.0,1.32333333333
14,3900.0,1.19
15,4200.0,1.36666666667
16,4500.0,1.29
17,4800.0,1.38666666667
18,5100.0,1.38666666667
19,5400.0,1.31
20,5700.0,1.28333333333
21,6000.0,1.24
22,6300.0,1.3
23,6600.0,1.38666666667
24,6900.0,1.28666666667
25,7200.0,1.31
26,7500.0,1.21333333333
