,Average_score,Episode
0,0.0,0.0
1,300.0,1.37
2,300.0,1.24666666667
3,600.0,1.41
4,900.0,1.23
5,1200.0,1.28
6,1500.0,1.28666666667
7,1800.0,1.33666666667
8,2100.0,1.07333333333
9,2400.0,1.48666666667
10,2700.0,1.33333333333
11,3000.0,1.30666666667
12,3300.0,1.44333333333
13,3600.0,1.18666666667
14,3900.0,1.35333333333
15,4200.0,1.31
16,4500.0,1.33
17,4800.0,1.30333333333
18,5100.0,1.34666666667
19,5400.0,1.28
20,5700.0,1.25666666667
21,6000.0,1.36333333333
22,6300.0,1.34666666667
23,6600.0,1.27666666667
24,6900.0,1.30333333333
25,7200.0,1.13333333333
